row_id,id,row_title,block,+/-,accounts_included,variable_name,text_field,variable_text,ib_ub,calculated,formula,Saldo,always_show,toggle_show,editable,style,item_name,Abstrakt,Datatyp,period_type,block_sub
309,998,Fordringar hos intresseföretag och gemensamt styrda företag,FORDRINTRE,,,,,,,,,,false,,,,NotFordringarIntresseforetagGemensamtStyrdaForetag,false,xbrli:stringItemType,duration,
310,999,Fordringar hos intresseföretag och gemensamt styrda företag,FORDRINTRE,,,,,,,,,,false,,,,FordringarIntresseforetagGemensamtStyrdaForetagAbstract,true,xbrli:stringItemType,duration,
311,1000,"Ingående anskaffningsvärden ",FORDRINTRE,,,fordr_intresse_ib,,,,,,debit,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagAnskaffningsvarden,false,xbrli:monetaryItemType,instant,
312,1001,Förändringar av anskaffningsvärden,FORDRINTRE,,,,,,,,,,false,,,,FordringarIntresseforetagGemensamtStyrdaForetagaForandringAnskaffningsvardenAbstract,true,xbrli:stringItemType,duration,
313,1002,Tillkommande fordringar,FORDRINTRE,+,,nya_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringTillkommandeFordringar,false,xbrli:monetaryItemType,duration,
314,1003,Fusion,FORDRINTRE,+,,fusion_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringAnskaffningsvardenFusion,false,xbrli:monetaryItemType,duration,
315,1004,Reglerade fordringar,FORDRINTRE,-,,reglerade_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringAnskaffningsvardenRegleradeFordringar,false,xbrli:monetaryItemType,duration,
316,1005,Bortskrivna fordringar,FORDRINTRE,-,,bortskrivna_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringAnskaffningsvardenBortskrivnafordringar,false,xbrli:monetaryItemType,duration,
317,1006,Omklassificeringar,FORDRINTRE,,,omklass_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringAnskaffningsvardenOmklassificeringar,false,xbrli:monetaryItemType,duration,
318,1007,Omräkningsdifferenser,FORDRINTRE,,,,,,,,,,false,,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringAnskaffningsvardenOmrakningsdifferenser,false,xbrli:monetaryItemType,duration,
319,1008,Utgående anskaffningsvärden,FORDRINTRE,,,fordr_intresse_ub,,,,,,debit,false,true,,S2,FordringarIntresseforetagGemensamtStyrdaForetagAnskaffningsvarden,false,xbrli:monetaryItemType,instant,
320,1009,Ingående nedskrivningar,FORDRINTRE,,,ack_nedskr_fordr_intresse_ib,,,,,,credit,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagNedskrivningar,false,xbrli:monetaryItemType,instant,NEDSKR
321,1010,Förändringar av nedskrivningar,FORDRINTRE,,,,,,,,,,false,,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringNedskrivningarAbstract,true,xbrli:stringItemType,duration,NEDSKR
322,1011,Återförda nedskrivningar vid bortskrivna fordringar vid reglerade fordringar,FORDRINTRE,+,,aterfor_nedskr_reglerade_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringNedskrivningarRegleradeFordringar,false,xbrli:monetaryItemType,duration,NEDSKR
323,1012,Fusion,FORDRINTRE,+,,aterfor_nedskr_fusion_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringNedskrivningarFusion,false,xbrli:monetaryItemType,duration,NEDSKR
324,1013,Återförda nedskrivningar,FORDRINTRE,,,aterfor_nedskr_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagaForandringNedskrivningarAterfordaNedskrivningar,false,xbrli:monetaryItemType,duration,NEDSKR
325,1014,Återförda nedskrivningar vid bortskrivna fordringar,FORDRINTRE,+,,aterfor_nedskr_bortskrivna_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringNedskrivningarBortskrivningfordringar,false,xbrli:monetaryItemType,duration,NEDSKR
326,1015,Omklassificeringar,FORDRINTRE,,,omklass_nedskr_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringNedskrivningarOmklassificeringar,false,xbrli:monetaryItemType,duration,NEDSKR
327,1016,Årets nedskrivningar,FORDRINTRE,-,,arets_nedskr_fordr_intresse,,,,,,,false,true,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringNedskrivningarAretsNedskrivningar,false,xbrli:monetaryItemType,duration,NEDSKR
328,1017,Omräkningsdifferenser,FORDRINTRE,,,,,,,,,,false,,,,FordringarIntresseforetagGemensamtStyrdaForetagForandringNedskrivningarOmrakningsdifferenser,false,xbrli:monetaryItemType,duration,NEDSKR
329,1018,Utgående nedskrivningar,FORDRINTRE,,,ack_nedskr_fordr_intresse_ub,,,,,,credit,false,true,,S2,FordringarIntresseforetagGemensamtStyrdaForetagNedskrivningar,false,xbrli:monetaryItemType,instant,NEDSKR
330,1019,Redovisat värde,FORDRINTRE,,,red_varde_fordr_intresse,,,,,,debit,false,true,,S2,FordringarIntresseforetagGemensamtStyrdaForetagLangfristiga,false,xbrli:monetaryItemType,instant,
331,1020,Kommentar till not,FORDRINTRE,,,,,,,,,,false,,,,NotFordringarIntresseforetagGemensamtStyrdaForetagKommentar,false,xbrli:stringItemType,duration,
